mode,unit,threads,trial,throughput
io,tasks,1088,1,108782.0
io,tasks,1088,2,108781.8
io,tasks,1152,0,115181.4
io,tasks,1152,1,115189.4
io,tasks,1152,2,115181.6
io,tasks,1216,0,121579.8
io,tasks,1216,1,121563.6
io,tasks,1216,2,121580.5
io,tasks,1280,0,127971.9
io,tasks,1280,1,127962.0
io,tasks,1280,2,127975.3
io,tasks,1344,0,134368.2
io,tasks,1344,1,134338.5
io,tasks,1344,2,134372.6
io,tasks,1408,0,140777.2
io,tasks,1408,1,140657.6
io,tasks,1408,2,140645.0
io,tasks,1472,0,147133.6
io,tasks,1472,1,147084.0
io,tasks,1472,2,146916.2
io,tasks,1536,0,153445.4
io,tasks,1536,1,153444.9
io,tasks,1536,2,153425.3
io,tasks,1600,0,159990.0
io,tasks,1600,1,159838.9
io,tasks,1600,2,159741.4
io,tasks,1664,0,166146.7
io,tasks,1664,1,166197.3
io,tasks,1664,2,166065.8
io,tasks,1728,0,172397.0
io,tasks,1728,1,172632.2
io,tasks,1728,2,172772.2
io,tasks,1792,0,178672.9
io,tasks,1792,1,178795.9
io,tasks,1792,2,178823.7
io,tasks,1856,0,185197.3
io,tasks,1856,1,185289.3
io,tasks,1856,2,185158.0
io,tasks,1920,0,191966.4
io,tasks,1920,1,191328.9
io,tasks,1920,2,191257.6
io,tasks,1984,0,197700.6
io,tasks,1984,1,197738.0
io,tasks,1984,2,197850.3
io,tasks,2048,0,203979.7
io,tasks,2048,1,203826.7
io,tasks,2048,2,204766.5
io,tasks,2112,0,210442.9
io,tasks,2112,1,210555.7
io,tasks,2112,2,210430.9
io,tasks,2176,0,216697.2
io,tasks,2176,1,217564.5
io,tasks,2176,2,216674.0
io,tasks,2240,0,223963.2
io,tasks,2240,1,223261.6
io,tasks,2240,2,222967.1
io,tasks,2304,0,229632.6
io,tasks,2304,1,229493.4
io,tasks,2304,2,229997.5
io,tasks,2368,0,235814.0
io,tasks,2368,1,235801.9
io,tasks,2368,2,235571.0
io,tasks,2432,0,242239.9
io,tasks,2432,1,242094.5
io,tasks,2432,2,242090.0
io,tasks,2496,0,248574.4
io,tasks,2496,1,248743.6
io,tasks,2496,2,248370.7
io,tasks,2560,0,255954.7
io,tasks,2560,1,255418.5
io,tasks,2560,2,254831.6
io,tasks,2624,0,261126.9
io,tasks,2624,1,261188.4
io,tasks,2624,2,261227.6
io,tasks,2688,0,267406.3
io,tasks,2688,1,267614.4
io,tasks,2688,2,267211.9
io,tasks,2752,0,273849.9
io,tasks,2752,1,275155.7
io,tasks,2752,2,273552.9
io,tasks,2816,0,280128.6
io,tasks,2816,1,280017.2
io,tasks,2816,2,280197.3
io,tasks,2880,0,286480.6
io,tasks,2880,1,286680.2
io,tasks,2880,2,286546.0
io,tasks,2944,0,292637.2
io,tasks,2944,1,292722.2
io,tasks,2944,2,292802.1
io,tasks,3008,0,298701.0
io,tasks,3008,1,299614.6
io,tasks,3008,2,299084.3
io,tasks,3072,0,304924.7
io,tasks,3072,1,306115.6
io,tasks,3072,2,305347.4
io,tasks,3136,0,311701.9
io,tasks,3136,1,311905.5
io,tasks,3136,2,311722.0
io,tasks,3200,0,319959.3
io,tasks,3200,1,318843.6
io,tasks,3200,2,317994.8
io,tasks,3264,0,324285.7
io,tasks,3264,1,324374.8
io,tasks,3264,2,324299.5
io,tasks,3328,0,330421.3
io,tasks,3328,1,330820.7
io,tasks,3328,2,330701.6
io,tasks,3392,0,336981.3
io,tasks,3392,1,337111.1
io,tasks,3392,2,336617.4
io,tasks,3456,0,344380.7
io,tasks,3456,1,343337.8
io,tasks,3456,2,343299.2
io,tasks,3520,0,349681.6
io,tasks,3520,1,349864.7
io,tasks,3520,2,349126.6
io,tasks,3584,0,356201.8
io,tasks,3584,1,355744.4
io,tasks,3584,2,355769.9
io,tasks,3648,0,361876.9
io,tasks,3648,1,361868.9
io,tasks,3648,2,362196.8
io,tasks,3712,0,368042.1
io,tasks,3712,1,369340.1
io,tasks,3712,2,368101.1
io,tasks,3776,0,374449.2
io,tasks,3776,1,377157.3
io,tasks,3776,2,374440.8
io,tasks,3840,0,381298.9
io,tasks,3840,1,380948.8
io,tasks,3840,2,381067.6
io,tasks,3904,0,387358.5
io,tasks,3904,1,387213.7
io,tasks,3904,2,387028.7
io,tasks,3968,0,395852.7
io,tasks,3968,1,395663.1
io,tasks,3968,2,393916.8
io,tasks,4032,0,399846.7
io,tasks,4032,1,399891.6
io,tasks,4032,2,401370.8
io,tasks,4096,0,406396.0
io,tasks,4096,1,406123.6
io,tasks,4096,2,407613.9
